,conf,doi,fig_num,width,height,colors,visual_density
14,models-models2024,10_1145-3640310_3674097,3,475,290,"[('FFFFFF', 0.8341705989110708), ('80A6F5', 0.02776043557168784), ('DBB3E8', 0.013676950998185118), ('535960', 0.0037313974591651543), ('000000', 0.003557168784029038), ('1A212B', 0.0023303085299455537), ('4A4A4A', 0.0020834845735027223), ('DFDFDF', 0.0015825771324863883), ('A0A0A0', 0.0015825771324863883), ('FEFEFE', 0.0015027223230490018)]",0.1542649727767694
15,models-models2024,10_1145-3640310_3674080,2,508,163,"[('FFFFFF', 0.7966281822134197), ('8A8A8A', 0.005820974832133713), ('7E7E7E', 0.005784744698323753), ('C7C7C7', 0.005615670740543935), ('484848', 0.005434520071494131), ('F3F3F3', 0.003647166803536061), ('939393', 0.0026810299019371046), ('848484', 0.001714893000338148), ('C3C3C3', 0.0015941258876382783), ('5F5F5F', 0.0015699724650983045)]",0.1765494420559396
16,models-models2024,10_1145-3640310_3674100,8,988,237,"[('FFFFFF', 0.8045405627017885), ('404040', 0.016113189497599892), ('000000', 0.01092861169476759), ('CFCFCF', 0.010586959121269581), ('E8E8E8', 0.01024530654777157), ('B3C6B3', 0.0032414287910623686), ('D9B3D9', 0.0029254001605767094), ('B3D9D9', 0.0028912349032269085), ('FFD9B3', 0.002844257674370932), ('FAC8E1', 0.00275884453099643)]",0.1886819043714448
17,models-models2024,10_1145-3640310_3674099,6,498,473,"[('1E1E1E', 0.3277040508758077), ('2E2E2E', 0.06769573006614195), ('282828', 0.054985268770642824), ('333333', 0.04092479855999049), ('2D2D2D', 0.02268694227226029), ('121411', 0.018857671701605575), ('FFFFFF', 0.01721898163478438), ('111310', 0.017112848858435857), ('262626', 0.01679869584044423), ('393939', 0.01676048804095876)]",0.981965918642859
18,models-models2024,10_1145-3640310_3674094,7,482,287,"[('FFFFFF', 0.5815417757022858), ('C2EFFF', 0.17021122789769688), ('FFF5B5', 0.024231208524296267), ('FCFCFC', 0.010127662035363685), ('E1E6F6', 0.008942125580117687), ('FBFBFB', 0.007612011508378273), ('D1E0EF', 0.007395145083638151), ('CFDEEE', 0.007395145083638151), ('D2E1F0', 0.004951783364899446), ('D0DFEF', 0.004930096722425434)]",0.3782005869851179
19,models-models2024,10_1145-3640310_3674091,5,419,299,"[('EBEBEB', 0.6557019819445886), ('FFFFFF', 0.1803465808861679), ('595959', 0.1244721865246925), ('F5F5F5', 0.020505902730661472), ('FDFDFD', 0.006768783774075878), ('EAEAEA', 0.0010456493801933254), ('C6C6C6', 0.0003831387041929742), ('FEFEFE', 0.00026340785913266974), ('D9D9D9', 0.0002474437464579625), ('FAFAFA', 0.00023147963378325524)]",0.7907982854542988
20,models-models2024,10_1145-3640310_3674099,4,844,248,"[('FFFFFF', 0.14293017122764104), ('000000', 0.035425584772970496), ('ADA5A2', 0.0035019492432349793), ('AFA7A4', 0.0031101895734597157), ('A69F99', 0.0030624140039749274), ('AEA6A3', 0.0030241935483870967), ('A59E98', 0.0028904219538296895), ('ACA4A1', 0.002833091270447944), ('B9B4B0', 0.0028139810426540284), ('FCFCFC', 0.002804425928757071)]",0.8536252102125057
21,models-models2024,10_1145-3640310_3674084,3,1056,432,"[('FFFFFF', 0.5950696198092031), ('EEEEEE', 0.05174137205387205), ('FAFAFA', 0.013093171296296295), ('FFFFE0', 0.011528040824915825), ('FDFDFD', 0.006953212682379349), ('FCFCFC', 0.006223256874298541), ('FEFEFE', 0.005931712962962963), ('FBFBFB', 0.0047238881874298545), ('F5F5F5', 0.0042898604096520765), ('DFDFDF', 0.004180257435465769)]",0.3241113390853108
22,models-models2024,10_1145-3640310_3674083,2,476,316,"[('FFFFFF', 0.8916006275928092), ('404040', 0.007113604935645144), ('2C2C2C', 0.00438118285288799), ('000000', 0.004208328901180725), ('BFBFBF', 0.0014958515051590256), ('808080', 0.0014293692160408467), ('A0A0A0', 0.0013030528667163069), ('FEFEFE', 0.0012831081799808532), ('DFDFDF', 0.0012698117221572173), ('606060', 0.0012166258908626743)]",0.0977422614615467
23,models-models2024,10_1145-3640310_3674100,4,950,279,"[('FFFFFF', 0.8909790605546123), ('FFB3B3', 0.014374646293152235), ('FFD9B3', 0.008602150537634409), ('CFCFCF', 0.007187323146576117), ('404040', 0.006202603282399547), ('B3B3FF', 0.005006602527824939), ('000000', 0.004689681192227881), ('0E0E0E', 0.003071118656857197), ('565656', 0.002625919637804188), ('BFBFBF', 0.0012940954536879833)]",0.1040407470288624
24,models-models2024,10_1145-3640310_3674085,5,475,339,"[('FFFFFF', 0.29092376960099364), ('FEF7D7', 0.058264244682502714), ('FFF4D5', 0.0472349014128241), ('FFF5D6', 0.030815090824406147), ('FEF7D9', 0.019624281943797547), ('000000', 0.01456295606272318), ('FEF7D8', 0.008979972054028878), ('FDF7D7', 0.007495730476634063), ('01242D', 0.007272162707654091), ('00232C', 0.006837447601304145)]",0.703157894736842
25,models-models2024,10_1145-3640310_3674092,1,372,211,"[('FFFFFF', 0.7540258879885848), ('DFE3E8', 0.058362635682617334), ('000000', 0.0077842327880548335), ('AFAFAF', 0.004917698618967538), ('111111', 0.004815777404066656), ('BABABA', 0.004815777404066656), ('A0A0A0', 0.004752076644753606), ('707070', 0.004726596341028385), ('444444', 0.004586454670539673), ('FBFBFB', 0.002700912194873363)]",0.2319344646588188
